,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
1902,Coleraine Road,1800000,House,2996,5,5,5,Blackheath,London,SE3 7PQ
1903,Wellfield Road,750000,House,1030,3,3,3,,London,SW16 2BY
1904,17 Lillie Square,1430000,New development,905,2,2,2, Earls Court,London,SW6 1UE
1905,Claremont Square,1500000,Flat / Apartment,1197,2,2,2,,London,N1 9LS
1906,Leppoc Road,1890000,House,2408,5,5,5,,London,SW4 9LT
1907,Walsingham,1990000,Flat / Apartment,1364,3,3,3,St. Johns Wood Park,London,NW8 6RG
1908,Battersea Park Road,825000,Flat / Apartment,1109,2,2,2,,London,SW11 4ND
1909,Samford House,525000,Flat / Apartment,779,4,4,4,Charlotte Terrace,London,N1 0JF
1910,Buckston Browne Gardens,1900000,House,4558,5,5,5, Orpington,Kent,BR6 7FF
1911,Leathwaite Road,725000,Flat / Apartment,635,2,2,2,,London,SW11 1XQ
1912,Telfords Yard,900000,Flat / Apartment,1436,2,2,2,,London,E1W 2BS
1913,Belgrave Road,3995000,House,4642,6,6,6,Pimlico,London,SW1V 2BQ
1914,Dalby Road,1100000,House,1420,3,3,3, Wandsworth,London1500,SW18 1AW
1915,Deerings Drive,975000,House,1448,4,4,4,Pinner,Middlesex,HA5 2NZ
1916,Astonville Street,1225000,House,1495,4,4,4,Southfields,London,SW18 5AG
1917,Upper Halliford Road,325000,Flat / Apartment,601,2,2,2,Shepperton,Middlesex,TW17 8SH
1918,Earlsfield Road,1175000,House,2259,5,5,5,Wandsworth,London,SW18 3DY
1919,City Road,500000,Flat / Apartment,551,1,1,1,Shoreditch,London,EC1V 1AG
1920,Wilton Place,6600000,House,3388,5,5,5,,London,SW1X 8RH
1921,Hillbrow,850000,Flat / Apartment,1239,3,3,3, Richmond,Surrey,TW10 6BH
1922,Church Road,3950000,House,4629,6,6,6, Richmond,Surrey,TW10 5HG
1923,Regents Park Road,1750000,Flat / Apartment,1677,2,2,2,Primrose Hill,London,NW1 7SX
1924,Spencer Road,1950000,House,2797,6,6,6,East Molesey,Surrey,KT8 0SP
1925,York Mansions,2100000,Flat / Apartment,1550,3,3,3,Prince of Wales Drive,London,SW11 4BN
1926,Overstrand Mansions,1685000,Flat / Apartment,1318,2,2,2,Prince of Wales Drive,London,SW11 4EU
1927,Candlemakers Apartments,550000,Flat / Apartment,759,1,1,1, Battersea,London,SW11 3RS
1928,Bond Mansions (Phase 2a),690000,New development,633,1,1,1,,Wornington Road,W10 5RZ
1929,Bond Mansions (Phase 2a),685000,New development,594,1,1,1,,Wornington Road,W10 5RZ
1930,Bond Mansions (Phase 2a),765000,New development,733,2,2,2,,Wornington Road,W10 5RZ
1931,Cavendish Road,435000,Flat / Apartment,412,1,1,1,,London,SW12 0BH
1932,Cavendish Road,435000,Flat / Apartment,420,1,1,1,,London,SW12 0BH
1933,Bond Mansions (Phase 2a),825000,New development,775,2,2,2,,Wornington Road,W10 5RZ
1934,Gowing House,1150000,New development,1206,3,3,3, Wandsworth,London,SW18 1SZ
1935,Bond Mansions,710000,New development,830,1,1,1,,Wornington Road,W10 5RZ
1936,Avenue Close,1695000,Flat / Apartment,1168,2,2,2,Avenue Road,London,NW8 6DA
1937,Provost Street,500000,Flat / Apartment,508,1,1,1,Shoreditch,London,N1 7NB
1938,Cavendish Road,850000,Flat / Apartment,907,3,3,3,,London,SW12 0BH
1939,The Listed Building,970000,Flat / Apartment,1350,2,2,2,350 The Highway,London,E1W 3HU
1940,Highbury Hill,1650000,House,1642,4,4,4,,London,N5 1AU
1941,Reynolds House,475000,Flat / Apartment,663,2,2,2,Approach Road,London,E2 9JR
1942,Trouville Road,1050000,Flat / Apartment,1050,2,2,2,,London,SW4 8QL
1943,Clancarty Road,1750000,House,1770,4,4,4,,London,SW6 3AH
1944,Pembridge Road,750000,Flat / Apartment,477,1,1,1,,London,W11 3HN
1945,Kensington House,650000,Flat / Apartment,1162,2,2,2, Woodford Green,Essex,IG8 8RJ
1946,Belsize Avenue,580000,Flat / Apartment,607,1,1,1,,London,NW3 4BL
1947,17 Lillie Square,1680000,New development,1100,2,2,2, Earls Court,London,SW6 1UE
1948,Turner House,1250000,Flat / Apartment,802,1,1,1, Covent Garden,London,WC2R 0PP
1949,Pierhead Lock,700000,Flat / Apartment,1387,4,4,4, Canary Wharf,London,E14 3FD
1950,Barmouth Road,799999,Flat / Apartment,1283,2,2,2,Wandsworth,London,SW18 2DN
1951,Margil House,825000,Flat / Apartment,1175,3,3,3,Singapore Road,London,W13 0FD
1952,Television Centre,1050000,Flat / Apartment,953,2,2,2,101 Wood Lane,London,W12 7FT
1953,St. Ann's Crescent,575000,Flat / Apartment,720,2,2,2,,London,SW18 2LR
1954,Eamont Court,725000,Flat / Apartment,617,2,2,2, St Johns Wood,London,NW8 7DW
1955,Hampton Court Way,1000000,House,1827,4,4,4,,Thames Ditton,KT7 0LT
1956,Lanson Building,525000,Flat / Apartment,472,1,1,1,348 Queenstown Road,London,SW11 8QN
1957,Hepworth Court,1600000,Flat / Apartment,1019,3,3,3,30 Gatliff Road,London,SW1W 8QP
1958,Quarry Road,1550000,House,2326,5,5,5,Wandsworth,London,SW18 2QH
1959,Barmouth Road,750000,Flat / Apartment,1176,3,3,3,Wandsworth,London,SW18 2DT
1960,Baxendale Street,950000,House,987,2,2,2,Shoreditch,London,E2 7BY
1961,Redesdale Street,4250000,House,2223,4,4,4,,London,SW3 4BL
1962,Oxford Road,710000,Flat / Apartment,730,2,2,2,Putney,London,SW15 2LF
1963,Ravenswood Park,1100000,House,2007,4,4,4,Northwood,Middlesex,HA6 3PR
1964,Davenham Avenue,1600000,House,2914,4,4,4,Northwood,Middlesex,HA6 3HW
1965,Chiltern Place,12950000,New development,2840,2,2,2, Marylebone,London,W1U 4EJ
1966,Grosvenor Avenue,749950,Flat / Apartment,1053,3,3,3,Highbury,London,N5 2NP
1967,Devonshire Road,899950,House,1344,5,5,5,,London,W5 4TR
1968,Barwell Court Farmhouse,699950,House,1410,3,3,3, Chessington,Surrey,KT9 2LZ
1969,Hugero Point,399995,Flat / Apartment,569,1,1,1, Greenwich,London,SE10 0GS
1970,Ionian Building,525000,Flat / Apartment,814,1,1,1,45 Narrow Street,London,E14 8DW
1971,Palladian Gardens,2500000,New development,2967,5,5,5,Chiswick,London,W4 2ER
1972,Vanilla & Sesame Court,950000,Flat / Apartment,698,2,2,2,Curlew Street,London,SE1 2NP
1973,George Road,1750000,New development,2553,5,5,5,Kingston Upon Thames,Surrey,KT2 7NR
1974,Lysia Street,1225000,House,1510,4,4,4,Fulham,London,SW6 6NE
1975,Stormont Road,700000,Flat / Apartment,678,2,2,2,,London,SW11 5EJ
1976,17 Lillie Square,2170000,New development,1081,3,3,3, Earls Court,London,SW6 1UE
1977,Cholmondeley Walk,3250000,House,3410,3,3,3,Richmond,Surrey,TW9 1NS
1978,Talisman Tower,630000,Flat / Apartment,709,2,2,2, Canary Wharf,London,E14 9BU
1979,St Paul Street,1600000,House,1565,3,3,3,Islington,London,N1 7AH
1980,Balcorne Street,475000,Flat / Apartment,626,2,2,2,South Hackney,London,E9 7AU
1981,Ormond Road,1025000,Flat / Apartment,992,3,3,3,Richmond,Surrey,TW10 6TH
1982,Fulham Road,500000,Flat / Apartment,481,1,1,1,,London,SW6 5SA
1983,Cleveland Street,550000,Flat / Apartment,358,1,1,1,Fitzrovia,London,W1T 6NU
1984,Ferry Road,4350000,House,4862,6,6,6,Barnes,London,SW13 9PR
1985,Greenhill Court,575000,Flat / Apartment,997,2,2,2, Northwood,Middlesex,HA6 2BD
1986,Orchard Rise,2650000,House,3009,5,5,5,Richmond,Surrey,TW10 5BX
1987,Addison Gardens,775000,Flat / Apartment,1173,1,1,1,,London,W14 0DS
1988,Wadham Road,1345000,House,1909,4,4,4,Putney,London,SW15 2LS
1989,Carmalt Gardens,2250000,House,2978,5,5,5,Putney,London,SW15 6NE
1990,Falcon Wharf,500000,Flat / Apartment,752,1,1,1, Battersea,London,SW11 3RY
1991,Parliament View Apartments,1600000,Flat / Apartment,1192,2,2,2,Lambeth,London,SE1 7XQ
1992,Drapers Yard,515000,Flat / Apartment,578,1,1,1,Wandsworth,London,SW18 1SF
1993,East Hill,495000,Flat / Apartment,693,1,1,1,,London,SW18 2HQ
1994,Coborn Road,1485000,House,1541,4,4,4,Bow,London,E3 2DA
1995,Park Village East,3650000,House,2034,4,4,4,Regent's Park,London,NW1 7PZ
1996,Haberdasher Street,825000,Penthouse,896,3,3,3,,London,N1 6EJ
1997,Melrose Road,630000,House,1596,4,4,4,Coulsdon,Surrey,CR5 3JH
1998,Elspeth Road,675000,Flat / Apartment,1021,3,3,3,,London,SW11 1DS
1999,Knightsbridge,17950000,New development,5880,5,5,5,,London,SW3 2AH
2000,Clephane Road,699950,Flat / Apartment,976,3,3,3,Canonbury,London,N1 2FT
2001,Thorpe Hall Mansions,600000,Flat / Apartment,854,3,3,3,Eaton Rise,London,W5 2HB
2002,Aragon Avenue,900000,House,1363,4,4,4,Thames Ditton,Surrey,KT7 0PY
2003,Woodbourne Drive,1195000,House,2149,4,4,4, Esher,Surrey,KT10 0DR
2004,Des Barres Court,395000,Penthouse,594,1,1,1, Greenwich,London,SE10 0GY
2005,Landmark East Tower,795000,Flat / Apartment,862,2,2,2,24 Marsh Wall,London,E14 9DB
2006,Argyll Mansions,1350000,Flat / Apartment,1768,3,3,3,Bishops King Road,London,W14 8QQ
2007,Benbow House,3600000,Flat / Apartment,2147,3,3,3,24 New Globe Walk,London,SE1 9DS
2008,Fernshaw Mansions,1599950,Flat / Apartment,1111,3,3,3,Fernshaw Road,London,SW10 0TD
2009,The Tower,1850000,Flat / Apartment,1176,2,2,2,1 St. George Wharf,London,SW8 2DU
2010,Weldin Mews,875000,House,1211,3,3,3,Putney,London,SW18 1FT
2011,Portman Avenue,1350000,House,1830,5,5,5,,London,SW14 8NX
2012,Bolingbroke Grove,625000,Flat / Apartment,760,2,2,2,,London,SW11 6HB
2013,North Side Wandsworth Common,5500000,House,4273,6,6,6,,London,SW18 2SU
2014,Chiswick Wharf,1595000,House,1643,5,5,5,Chiswick,London,W4 2SR
2015,Pembridge Villas,4750000,House,2979,4,4,4,,London,W11 3EN
2016,Whittingstall Road,675000,Flat / Apartment,638,1,1,1,Fulham,London,SW6 4EA
2017,Noel Road,900000,Flat / Apartment,822,2,2,2,Islington,London,N1 8HD
2018,Buckland Crescent,6450000,House,5288,6,6,6,Belsize Park,London,NW3 5DX
2019,Chantry Street,1600000,House,1195,2,2,2,Islington,London,N1 8NL
2020,Curzon Street,3750000,Flat / Apartment,1358,2,2,2,Mayfair,London,W1J 5HG
2021,Banister House,465000,Flat / Apartment,730,2,2,2,Homerton High Street,London,E9 6BH
2022,North Street,850000,Flat / Apartment,842,2,2,2,,London,SW4 0HQ
2023,Baronsmead Road,3250000,House,3179,6,6,6,Barnes,London,SW13 9RR
2024,Tower View Apartments,1500000,Flat / Apartment,1200,2,2,2,84 St. Katharines Way,London,E1W 1BE
2025,Old School Square,450000,Flat / Apartment,717,2,2,2,Canary Wharf,London,E14 7DJ
2026,Ashley Gardens,2375000,Flat / Apartment,2123,3,3,3,Emery Hill Street,London,SW1P 1PD
2027,Broom Close,1550000,House,3065,4,4,4,Esher,Surrey,KT10 9ET
2028,Elers Road,1780000,House,2264,5,5,5,Ealing,London,W13 9QB
2029,Mortimer Road,775000,Flat / Apartment,729,2,2,2,De Beauvoir,London,N1 4LA
2030,Palace Mansions,1450000,Flat / Apartment,1700,4,4,4,Earsby Street,London,W14 8QW
2031,Wendon Street,425000,Flat / Apartment,563,1,1,1,Bow,London,E3 2JR
2032,Cheyne Walk,2250000,Flat / Apartment,1171,2,2,2,,London,SW3 5LX
2033,Hyde Park Gardens,4250000,Penthouse,1946,4,4,4,,London,W2 2LU
2034,Byfeld Gardens,2000000,House,2009,4,4,4,Barnes,London,SW13 9HP
2035,Severnake Close,800000,House,1260,4,4,4,Canary Wharf,London,E14 9WE
2036,Harrowgate Road,900000,House,1275,3,3,3,Homerton,London,E9 5EB
2037,Glebe Place,6950000,House,3774,5,5,5,,London,SW3 5JB
2038,Borneo Street,779000,Flat / Apartment,832,2,2,2,Putney,London,SW15 1QQ
2039,Dyers Lane,945000,House,1146,2,2,2,Putney,London,SW15 6JR
2040,Cygnet Close,1295000,House,2055,4,4,4,Northwood,Middlesex,HA6 2TA
2041,Aristotle Road,599999,Flat / Apartment,821,2,2,2,,London,SW4 7UZ
2042,Northcote Road,550000,Flat / Apartment,630,2,2,2,,London,SW11 6QB
2043,Vardens Road,700000,Flat / Apartment,680,2,2,2,,London,SW11 1RQ
2044,Waterloo Terrace,1850000,House,1512,3,3,3,Islington,London,N1 1TQ
2045,Ember Lane,1299995,House,2394,5,5,5,Esher,Surrey,KT10 8EF
2046,Palace Road,2850000,House,5116,6,6,6,East Molesey,Surrey,KT8 9DW
2047,Sheen Common Drive,2650000,House,2942,6,6,6,Richmond,Surrey,TW10 5BW
2048,Vicary House,795000,New development,541,1,1,1,24 Bartholomew Close,London,EC1A 7BB
2049,47 Pilot Walk,995000,Penthouse,1485,3,3,3,Greenwich,London,SE10 0NW
2050,The Chase,2850000,House,5380,6,6,6, Tadworth,Surrey,KT20 6HZ
2051,Saltram Crescent,750000,Flat / Apartment,1043,3,3,3,,London,W9 3JS
2052,Langroyd Road,900000,House,1207,3,3,3,,London,SW17 7PL
2053,Leighton House,875000,Flat / Apartment,922,3,3,3,John Islip Street,London,SW1P 4EA
2054,Tennyson Road,775000,House,1201,3,3,3,,London,SW19 8SH
2055,Port East Apartments,565000,Flat / Apartment,653,1,1,1, Canary Wharf,London,E14 4AX
2056,City Road,2000000,New development,1342,3,3,3,Shoreditch,London,EC1V 1AZ
2057,City Road,1000000,New development,772,2,2,2,Shoreditch,London,EC1V 1AZ
2058,Hillgate Place,3075000,House,1477,3,3,3,,London,W8 7ST
2059,Albert Mews,1250000,House,1877,4,4,4,Canary Wharf,London,E14 8EH
2060,Newman Street,895000,Flat / Apartment,601,1,1,1,Fitzrovia,London,W1T 1PN
2061,City Road,900000,Flat / Apartment,1273,2,2,2,Shoreditch,London,EC1V 2NR
2062,Priory Lane,699950,House,1226,3,3,3,West Molesey,Surrey,KT8 2PS
2063,Dartmouth Park Road,850000,Flat / Apartment,1382,3,3,3,Dartmouth Park,London,NW5 1SX
2064,Battersea Church Road,725000,Flat / Apartment,872,2,2,2,Battersea,London,SW11 3LY
2065,Mapleton Crescent,345000,Flat / Apartment,433,1,1,1,Wandsworth,London,SW18 4GY
2066,Oxhey Road,950000,House,1896,4,4,4,Oxhey,Watford,WD19 4QQ
2067,Venice Lodge,1700000,Penthouse,1378,3,3,3,Maida Vale,London,W9 1SD
2068,Stratford Road,1550000,Flat / Apartment,958,3,3,3,,London,W8 6QA
2069,Imperial Court,1350000,Flat / Apartment,1428,3,3,3,4-10 Lexham Gardens,London,W8 5JH
2070,Highbury Place,999950,Flat / Apartment,726,2,2,2,Highbury,London,N5 1QZ
2071,Cross Street,3300000,House,2640,5,5,5,Islington,London,N1 2BH
2072,Kings Drive,1200000,House,2491,3,3,3,Surbiton,Surrey,KT5 8NQ
2073,Winterdown Road,899950,House,1504,3,3,3,Esher,Surrey,KT10 8LJ
2074,Marine Wharf East,485000,New development,545,1,1,1,,Surrey Quays,SE16 7UD
2075,Lucienne Court,630000,Penthouse,1043,2,2,2,72 Lindfield Street,London,E14 6GT
2076,47 Pilot Walk,720000,Flat / Apartment,987,2,2,2,Greenwich,London,SE10 0NW
2077,Park Road,2350000,House,2666,4,4,4,Grove Park,London,W4 3HP
2078,Edgarley Terrace,800000,Flat / Apartment,703,2,2,2,,London,SW6 6QE
2079,Octavia Street,1800000,House,1909,4,4,4,Battersea,London,SW11 3DN
2080,Barrow Road,1650000,House,2942,5,5,5,,London,SW16 5PE
2081,Marner Point,367500,Flat / Apartment,472,1,1,1, Bow,London,E3 3QE
2082,Shandon Road,945000,Flat / Apartment,1081,2,2,2,,London,SW4 9HP
2083,Princes Drive,2500000,House,5101,6,6,6, Leatherhead,Surrey,KT22 0UL
2084,Watford Heath,995000,House,1845,4,4,4,Oxhey Village,Watford,WD19 4EU
2085,Catalina House,685000,Flat / Apartment,560,1,1,1,4 Canter Way,London,E1 8QE
2086,Rosemont Road,1100000,House,1582,4,4,4,Hampstead,London,NW3 6NE
2087,17 Lillie Square,865000,New development,606,1,1,1, Earls Court,London,SW6 1UE
2088,Haverstock Place,725000,Flat / Apartment,696,2,2,2,Haverstock Street,London,N1 8BX
2089,Saville Road,1200000,House,1310,4,4,4,Chiswick,London,W4 5HG
2090,Castelnau,1700000,House,2126,4,4,4,Barnes,London,SW13 9ER
2091,East Hill,425000,Flat / Apartment,574,1,1,1,,London,SW18 2HG
2092,Herne Road,995000,House,1839,5,5,5,Surbiton,Surrey,KT6 5BX
2093,Ludo Building,525000,Flat / Apartment,596,2,2,2,375 Earlsfield Road,London,SW18 3DG
2094,Paultons Square,6350000,House,2948,4,4,4,,London,SW3 5AP
2095,Broom Road,2275000,House,2803,5,5,5,Teddington,Middlesex,TW11 9PG
2096,Burnelli Building,825000,Flat / Apartment,722,2,2,2, 352 Queenstown Road,London,SW11 8NG
2097,Peninsula Heights,1750000,Flat / Apartment,1481,2,2,2,93 Albert Embankment,London,SE1 7TY
2098,Atheldene Road,1100000,House,1632,3,3,3, Wandsworth,London,SW18 3BN
2099,Old Ford Road,530000,Flat / Apartment,626,2,2,2,,London,E3 5NQ
2100,St. Ann's Terrace,1795000,Flat / Apartment,1149,2,2,2,St. John's Wood,London,NW8 6PH
2101,Mallinson Road,725000,Flat / Apartment,805,2,2,2,,London,SW11 1BL
2102,Richmond Road,775000,Flat / Apartment,996,2,2,2,Hackney,London,E8 3QW
2103,Manor Road,850000,House,1242,3,3,3,,London,W13 0JA
2104,The Gallops,825000,House,1272,3,3,3,Esher,Surrey,KT10 8BN
2105,Henry Tate Mews,845000,House,1510,4,4,4,,London,SW16 3HA
2106,Paget Street,850000,Flat / Apartment,826,2,2,2,Clerkenwell,London,EC1V 7PA
2107,Ennismore Avenue,875000,Flat / Apartment,977,2,2,2,Chiswick,London,W4 1SE
2108,Malthouse Passage,1000000,House,1354,3,3,3,Barnes,London,SW13 0AQ
2109,Buckingham Court,1050000,Flat / Apartment,751,2,2,2,78 Buckingham Gate,London,SW1E 6PE
2110,Lavender Hill,575000,Flat / Apartment,765,2,2,2,,London,SW11 5RW
2111,Benbow Road,995000,Flat / Apartment,1013,2,2,2,,London,W6 0AU
2112,Brendon Close,1650000,House,3285,4,4,4,Esher,Surrey,KT10 9EH
2113,Wood Crescent,1545000,New development,1440,2,2,2,,London,W12 7GJ
2114,The Highway,869995,Flat / Apartment,1333,2,2,2,,London,E1W 3HU
2115,Dungarvan Avenue,1295000,House,1647,4,4,4,Putney,London,SW15 5QU
2116,Ensleigh Lodge,4250000,House,3893,5,5,5,25 Ham Common,Surrey,TW10 7JB
2117,Bessborough Place,1800000,House,1467,3,3,3,,London,SW1V 3SE
2118,Cabul Road,799950,Flat / Apartment,1194,3,3,3,,London,SW11 2PN
2119,Blackhills,1999500,House,3769,5,5,5,Esher,Surrey,KT10 9JW
2120,Borneo Street,775000,Flat / Apartment,863,2,2,2,Putney,London,SW15 1QQ
2121,Boleyn Road,885000,Penthouse,1084,3,3,3,,London,N16 8EP
2122,Farnsworth Court,495000,Flat / Apartment,821,2,2,2, Greenwich,London,SE10 0RU
2123,Seymour Road,1550000,New development,2690,5,5,5,East Molesey,Surrey,KT8 0PF
2124,Chelsea Court,600000,Flat / Apartment,455,1,1,1,95 Elm Park Gardens,London,SW10 9QW
2125,Park Road,1925000,House,4124,6,6,6,Banstead,Surrey,SM7 3EF
2126,Clapham Common North Side,3425000,House,3622,6,6,6,,London,SW4 9SB
2127,Stillingfleet Road,1500000,House,2278,5,5,5,Barnes,London,SW13 9AF
2128,Eustace Building,800000,Flat / Apartment,708,2,2,2, 372 Queenstown Road,London,SW11 8NT
2129,Highbury Place,1050000,Flat / Apartment,1020,2,2,2,,London,N5 1QP
2130,Islington Green,675000,Flat / Apartment,628,2,2,2,Islington,London,N1 2XA
2131,Highgate High Street,875000,Flat / Apartment,1077,2,2,2,Highgate,London,N6 5JG
2132,Norman Avenue,1900000,House,2061,5,5,5,,Twickenham,TW1 2LY
2133,Frithwood Avenue,450000,Flat / Apartment,708,2,2,2,Northwood,Middlesex,HA6 3LX
2134,Elsham Road,750000,Flat / Apartment,778,2,2,2,,London,W14 8HB
2135,Atkins Square,685000,New development,1000,3,3,3,Dalston Lane,London,E8 1FA
2136,Dukes Mews,4000000,House,2435,3,3,3,Marylebone,London,W1U 3ET
2137,Beech Close,1335000,House,1771,3,3,3,Putney,London,SW15 4HW
2138,Admiralty House,2250000,New development,1265,3,3,3,150 Vaughan Way,London,E1W 2AH
2139,Westfield,1625000,Flat / Apartment,1612,3,3,3, Hampstead,London,NW3 7SG
2140,Crane Grove,850000,Flat / Apartment,723,2,2,2,,London,N7 8LE
2141,Crane Grove,550000,Flat / Apartment,536,1,1,1,,London,N7 8LE
2142,Crane Grove,1400000,House,1259,3,3,3,,London,N7 8LE
2143,Balham Grove,1200000,House,1335,4,4,4,Nightingale Triangle,London,SW12 8AZ
2144,Lambourne Avenue,5995000,New development,6313,6,6,6,Wimbledon,London,SW19 7DW
2145,Poppyfield House,495000,Flat / Apartment,767,2,2,2,Copperwood Place,London,SE10 8GD
2146,Thornhill Road,2750000,House,2479,4,4,4, Islington,London,N1 1JT
2147,Mare Street,1675000,House,2110,4,4,4,Hackney,London,E8 1HE
2148,Asquith House,1595000,Flat / Apartment,1316,3,3,3, Westminster,London,SW1P 2AR
2149,Boydell Court,1395000,Flat / Apartment,1171,3,3,3,St. Johns Wood Park,London,NW8 6NJ
2150,The Galleries,3295000,Flat / Apartment,2435,4,4,4,9 Abbey Road,London,NW8 9AQ
2151,Fleur De Lis Street,800000,Flat / Apartment,857,1,1,1,Spitalfields,London,E1 6BP
2152,Chester Row,3300000,House,1669,3,3,3,Belgravia,London,SW1W 8JP
2153,Queens Road,625000,Flat / Apartment,729,2,2,2,Richmond,Surrey,TW10 6JW
2154,Oak Lodge Avenue,1000000,House,2232,5,5,5,Chigwell,Essex,IG7 5JA
2155,Eden Close,2250000,House,1735,3,3,3,,London,W8 6UW
2156,Gillespie Road,550000,Flat / Apartment,585,1,1,1,Highbury,London,N5 1LN
2157,Wood Lane,3250000,House,2813,5,5,5,Highgate,London,N6 5UB
2158,Perrymead Street,2990000,House,3175,6,6,6, Fulham,London,SW6 3SN
2159,Spice Court,475000,Flat / Apartment,566,1,1,1,Asher Way,London,E1W 2JD
2160,Victoria Wharf,750000,Flat / Apartment,885,2,2,2, Limehouse,London,E14 8DD
2161,Askew Mansions,675000,Flat / Apartment,858,3,3,3,,London,W12 9DA
2162,Castelnau Gardens,950000,Flat / Apartment,1016,2,2,2,Barnes,London,SW13 8DU
2163,Garratt Lane,450000,Flat / Apartment,495,1,1,1,Wandsworth,London,SW18 4SW
2164,Castle Road,1500000,House,5587,7,7,7, Coulsdon,Surrey,CR5 3NS
2165,King Henrys Road,2250000,Flat / Apartment,1547,3,3,3,Primrose Hill,London,NW3 3RP
2166,Cole Park Road,2295000,House,3823,6,6,6,,Twickenham,TW1 1HT
2167,Montpelier Mews,2675000,House,1087,3,3,3,,London,SW7 1HB
2168,Sheen Common Drive,3650000,House,4135,5,5,5,Richmond,Surrey,TW10 5BN
2169,Hillview,1250000,Flat / Apartment,943,2,2,2,2-4 Primrose Hill Road,London,NW3 3AX
2170,Sandown House,650000,Flat / Apartment,1031,2,2,2, Esher,Surrey,KT10 9SL
2171,Drake House,850000,Flat / Apartment,861,2,2,2, Vauxhall,London,SW8 2LR
2172,West India Quay,1000000,Flat / Apartment,1514,2,2,2, Canary Wharf,London,E14 4EF
2173,Bartholomew Villas,825000,Flat / Apartment,687,2,2,2,Kentish Town,London,NW5 2LL
2174,Distillery Wharf,1050000,Flat / Apartment,1091,2,2,2, Regatta Lane,London,W6 9BF
2175,Great North Road,2375000,House,3116,6,6,6,Highgate,London,N6 4LU
2176,Parkfields,2950000,House,3235,6,6,6,Putney,London,SW15 6NH
2177,Montevetro,1595000,Flat / Apartment,1219,2,2,2, Battersea,London,SW11 3YL
2178,St. John's Wood Terrace,3750000,House,2243,5,5,5,St John's Wood,London,NW8 6JL
2179,Birchside Apartments,550000,Flat / Apartment,599,1,1,1, Queens Park,London,NW6 5FS
